iter	RMSE
0	47.10088789
1	42.5539388
2	38.53513274
3	34.92315696
4	31.61103151
5	28.66230376
6	25.99339627
7	23.61531708
8	21.5114472
9	19.56708546
10	17.87912845
11	16.34241561
12	14.98329792
13	13.76272601
14	12.64977955
15	11.66291173
16	10.76297658
17	9.992925377
18	9.294719203
19	8.641281208
20	8.066382776
21	7.566480768
22	7.131663926
23	6.734874454
24	6.39896804
25	6.108933541
26	5.844749184
27	5.620016933
28	5.4261482
29	5.243689263
30	5.090214519
31	4.956765674
32	4.817336261
33	4.71330443
34	4.603474997
35	4.49326246
36	4.406584005
37	4.327506987
38	4.248554681
39	4.179209866
40	4.121809315
41	4.065059132
42	4.002540455
43	3.955495205
44	3.914176414
45	3.864410053
46	3.834220628
47	3.800290751
48	3.77080264
49	3.729682025
50	3.703595992
51	3.668451636
52	3.623536991
53	3.594113977
54	3.573991258
55	3.54420417
56	3.518539852
57	3.494348251
58	3.470236513
59	3.445750901
60	3.427156805
61	3.415381138
62	3.388977067
63	3.367025173
64	3.353602285
65	3.335688535
66	3.324890955
67	3.312537754
68	3.277801942
69	3.263595396
70	3.253829014
71	3.229848936
72	3.209563751
73	3.188192929
74	3.176229038
75	3.167380082
76	3.143193279
77	3.126181682
78	3.118987162
79	3.108268248
80	3.096648488
81	3.086892152
82	3.075386404
83	3.066152586
84	3.05781088
85	3.048436677
86	3.041450483
87	3.034166683
88	3.02628818
89	3.021524094
90	3.01641856
91	3.002264559
92	2.997070628
93	2.992801156
94	2.987282562
95	2.976794174
96	2.968626118
97	2.961668471
98	2.945249757
99	2.939767474
100	2.933543414
101	2.929568284
102	2.92550761
103	2.920070165
104	2.905940839
105	2.896721482
106	2.889868359
107	2.886480565
108	2.882773314
109	2.872040311
110	2.867525156
111	2.864366487
112	2.861996273
113	2.854314785
114	2.84538795
115	2.838414508
116	2.833088228
117	2.822964401
118	2.804685423
119	2.801259817
120	2.794488629
121	2.791086952
122	2.787360502
123	2.782071904
124	2.777721568
125	2.774219593
126	2.768794679
127	2.76160303
128	2.742507106
129	2.739293982
130	2.727972272
131	2.725096393
132	2.721492897
133	2.718192247
134	2.715099811
135	2.711630502
136	2.707839652
137	2.69868563
138	2.688372713
139	2.685567912
140	2.682538936
141	2.676918749
142	2.67236172
143	2.669502587
144	2.655415657
145	2.652986273
146	2.649701686
147	2.646872744
148	2.644200033
149	2.640747218
150	2.632122419
151	2.628534329
152	2.625879574
153	2.622476542
154	2.618712404
155	2.616151288
156	2.614033219
157	2.610099545
158	2.608566237
159	2.605048496
160	2.602225602
161	2.599208175
162	2.592627074
163	2.575695202
164	2.571268
165	2.568496751
166	2.566390335
167	2.564719191
168	2.560791036
169	2.553530171
170	2.550130581
171	2.545332498
172	2.539991538
173	2.53800298
174	2.536304461
175	2.533050581
176	2.530703963
177	2.527925776
178	2.524714743
179	2.521718478
180	2.519102418
181	2.512487367
182	2.510858976
183	2.507463799
184	2.500968467
185	2.498173378
186	2.496582969
187	2.493782855
188	2.489927547
189	2.488009541
190	2.48625998
191	2.48400896
192	2.481515522
193	2.479998609
194	2.4786766
195	2.476620868
196	2.474849476
197	2.468426357
198	2.464275962
199	2.458395908
200	2.456898695
201	2.456110691
202	2.453497465
203	2.451717828
204	2.449506479
205	2.444766436
206	2.440644089
207	2.438616632
208	2.432976338
209	2.428885725
210	2.426792288
211	2.424225837
212	2.419809175
213	2.414956255
214	2.412954342
215	2.410808125
216	2.409307696
217	2.406600776
218	2.405292705
219	2.40075876
220	2.398597784
221	2.393593595
222	2.39018193
223	2.385329202
224	2.383445956
225	2.380997516
226	2.379791327
227	2.37752868
228	2.375890587
229	2.372485574
230	2.370104314
231	2.369225687
232	2.364211951
233	2.36226303
