iter	Passed	Remaining
0	20	20400
1	48	23989
2	67	22449
3	85	21207
4	103	20538
5	129	21444
6	152	21612
7	167	20757
8	204	22542
9	223	22096
10	250	22545
11	273	22540
12	297	22584
13	317	22368
14	340	22341
15	360	22201
16	380	21975
17	398	21762
18	417	21534
19	433	21236
20	449	20955
21	465	20707
22	484	20596
23	512	20850
24	531	20718
25	595	22304
26	639	23063
27	664	23074
28	685	22950
29	708	22916
30	735	22987
31	757	22913
32	783	22958
33	803	22836
34	825	22752
35	849	22737
36	866	22550
37	885	22418
38	907	22356
39	924	22179
40	938	21940
41	959	21887
42	983	21896
43	1001	21760
44	1014	21539
45	1034	21446
46	1049	21282
47	1064	21111
48	1079	20946
49	1096	20832
50	1112	20708
51	1133	20669
52	1152	20601
53	1171	20528
54	1197	20575
55	1212	20443
56	1229	20344
57	1247	20263
58	1263	20146
59	1285	20145
60	1318	20291
61	1339	20265
62	1360	20228
63	1381	20205
64	1403	20193
65	1418	20080
66	1434	19971
67	1448	19855
68	1465	19768
69	1481	19685
70	1497	19597
71	1513	19510
72	1535	19498
73	1563	19561
74	1583	19529
75	1603	19492
76	1632	19570
77	1650	19509
78	1666	19431
79	1683	19356
80	1700	19290
81	1725	19322
82	1746	19294
83	1766	19264
84	1791	19288
85	1816	19307
86	1835	19264
87	1852	19202
88	1877	19221
89	1896	19171
90	1914	19120
91	1934	19088
92	1953	19055
93	1966	18956
94	1981	18871
95	1997	18805
96	2011	18725
97	2024	18634
98	2044	18603
99	2059	18533
100	2073	18454
101	2086	18372
102	2100	18296
103	2119	18264
104	2136	18212
105	2152	18152
106	2166	18084
107	2182	18024
108	2198	17970
109	2225	18008
110	2241	17950
111	2263	17948
112	2281	17907
113	2300	17875
114	2316	17830
115	2332	17776
116	2343	17689
117	2362	17655
118	2379	17615
119	2398	17590
120	2415	17550
121	2430	17492
122	2447	17448
123	2463	17401
124	2478	17352
125	2495	17308
126	2514	17287
127	2530	17237
128	2547	17201
129	2564	17160
130	2581	17122
131	2596	17072
132	2616	17055
133	2635	17035
134	2655	17016
135	2671	16974
136	2685	16916
137	2701	16872
138	2718	16837
139	2732	16788
140	2753	16776
141	2827	17087
142	2850	17083
143	2869	17059
144	2888	17030
145	2905	16998
146	2924	16969
147	2939	16922
148	2957	16888
149	2974	16854
150	2991	16817
151	3008	16782
152	3031	16784
153	3050	16758
154	3069	16734
155	3086	16699
156	3102	16659
157	3121	16633
158	3134	16581
159	3152	16549
160	3166	16498
161	3184	16473
162	3202	16444
163	3216	16396
164	3230	16346
165	3245	16306
166	3262	16273
167	3275	16222
168	3290	16181
169	3305	16138
170	3318	16087
171	3332	16042
172	3345	15993
173	3363	15967
174	3378	15925
175	3394	15891
176	3411	15861
177	3429	15835
178	3443	15794
179	3467	15794
180	3485	15773
181	3500	15732
182	3514	15688
183	3528	15646
184	3543	15610
185	3559	15579
186	3575	15543
187	3595	15529
188	3619	15532
189	3638	15513
190	3653	15474
191	3667	15435
192	3683	15403
193	3701	15377
194	3715	15337
195	3728	15294
196	3743	15258
197	3760	15230
198	3778	15207
199	3795	15183
200	3812	15154
201	3826	15116
202	3892	15280
203	3914	15275
204	3931	15245
205	3949	15223
206	3965	15190
207	3980	15156
208	3998	15133
209	4015	15105
210	4033	15081
211	4047	15045
212	4062	15011
213	4076	14974
214	4092	14941
215	4107	14907
216	4123	14877
217	4139	14848
218	4155	14818
219	4172	14794
220	4205	14825
221	4221	14792
222	4237	14766
223	4257	14750
224	4272	14714
225	4290	14693
226	4306	14663
227	4319	14627
228	4337	14601
229	4354	14579
230	4370	14548
231	4385	14517
232	4407	14509
233	4424	14484
234	4436	14442
235	4449	14405
236	4465	14377
237	4478	14339
238	4494	14311
239	4578	14497
240	4596	14475
241	4613	14451
242	4631	14426
243	4648	14402
244	4672	14398
245	4688	14371
246	4721	14394
247	4740	14373
248	4753	14337
249	4777	14332
250	4798	14317
251	4819	14304
252	4836	14279
253	4849	14243
254	4860	14201
255	4877	14173
256	4891	14142
257	4904	14106
258	4921	14081
259	4937	14052
260	4953	14024
261	4968	13994
262	4983	13964
263	4996	13928
264	5009	13894
265	5022	13859
266	5034	13821
267	5054	13806
268	5072	13784
269	5086	13752
270	5100	13721
271	5116	13693
272	5131	13666
273	5147	13640
274	5163	13614
275	5177	13581
276	5190	13547
277	5202	13512
278	5220	13489
279	5239	13472
280	5260	13459
281	5281	13447
282	5299	13427
283	5314	13397
284	5330	13372
285	5349	13354
286	5371	13345
287	5390	13326
288	5409	13308
289	5427	13287
290	5442	13259
291	5457	13232
292	5478	13218
293	5491	13186
294	5514	13177
295	5530	13154
296	5544	13124
297	5558	13093
298	5571	13061
299	5585	13033
300	5598	13001
301	5614	12977
302	5632	12955
303	5646	12926
304	5660	12898
305	5671	12863
306	5687	12838
307	5703	12815
308	5720	12792
309	5736	12768
310	5752	12743
311	5769	12722
312	5790	12710
313	5807	12686
314	5821	12658
315	5836	12633
316	5850	12606
317	5866	12580
318	5884	12562
319	5902	12542
320	5916	12513
321	5940	12508
322	5961	12494
323	5981	12480
324	5999	12461
325	6017	12441
326	6042	12435
327	6057	12411
328	6070	12380
329	6084	12353
330	6098	12324
331	6110	12295
332	6124	12267
333	6140	12243
334	6153	12216
335	6171	12197
336	6193	12185
337	6207	12157
338	6222	12133
339	6237	12107
340	6253	12086
341	6267	12057
342	6283	12036
343	6301	12017
344	6316	11991
345	6339	11982
346	6357	11963
347	6373	11942
348	6389	11918
349	6410	11905
350	6434	11896
351	6453	11880
352	6470	11859
353	6486	11837
354	6500	11811
355	6525	11804
356	6542	11784
357	6558	11761
358	6572	11734
359	6585	11707
360	6598	11679
361	6612	11654
362	6624	11624
363	6637	11597
364	6664	11593
365	6684	11579
366	6708	11570
367	6729	11557
368	6752	11546
369	6768	11524
370	6788	11509
371	6805	11488
372	6818	11460
373	6830	11432
374	6850	11417
375	6868	11398
376	6889	11385
377	6917	11382
378	6937	11367
379	6957	11351
380	6980	11341
381	6998	11321
382	7014	11300
383	7029	11275
384	7044	11252
385	7057	11225
386	7071	11201
387	7089	11182
388	7105	11160
389	7126	11145
390	7145	11129
391	7159	11104
392	7173	11078
393	7188	11056
394	7201	11029
395	7214	11003
396	7228	10979
397	7242	10954
398	7257	10932
399	7271	10907
400	7284	10881
401	7299	10857
402	7317	10839
403	7335	10821
404	7356	10808
405	7371	10785
406	7386	10761
407	7408	10749
408	7428	10734
409	7445	10713
410	7460	10691
411	7473	10665
412	7486	10641
413	7498	10613
414	7515	10594
415	7535	10578
416	7550	10556
417	7567	10536
418	7582	10514
419	7595	10489
420	7607	10463
421	7619	10436
422	7631	10410
423	7644	10385
424	7660	10364
425	7674	10340
426	7688	10317
427	7704	10297
428	7719	10275
429	7735	10254
430	7752	10234
431	7767	10212
432	7782	10190
433	7797	10169
434	7813	10149
435	7830	10128
436	7843	10104
437	7857	10081
438	7869	10056
439	7884	10034
440	7895	10007
441	7908	9984
442	7925	9965
443	7940	9943
444	7954	9920
445	7968	9897
446	7982	9875
447	7997	9853
448	8012	9832
449	8026	9810
450	8044	9792
451	8211	9955
452	8235	9944
453	8260	9934
454	8278	9915
455	8302	9904
456	8341	9911
457	8364	9898
458	8405	9906
459	8429	9895
460	8451	9882
461	8475	9869
462	8496	9854
463	8522	9844
464	8590	9883
465	8633	9893
466	8670	9895
467	8697	9887
468	8714	9865
469	8734	9848
470	8754	9832
471	8775	9816
472	8796	9800
473	8820	9788
474	8843	9774
475	8866	9760
476	8888	9745
477	8906	9726
478	8926	9709
479	8965	9712
480	8982	9692
481	9000	9672
482	9020	9655
483	9060	9659
484	9092	9654
485	9117	9642
486	9140	9628
487	9162	9613
488	9187	9600
489	9207	9583
490	9226	9565
491	9247	9548
492	9264	9527
493	9287	9513
494	9314	9502
495	9335	9485
496	9355	9468
497	9377	9452
498	9395	9432
499	9420	9420
500	9440	9403
501	9456	9381
502	9477	9364
503	9493	9342
504	9511	9322
505	9531	9305
506	9560	9296
507	9579	9277
508	9598	9258
509	9620	9242
510	9660	9244
511	9706	9251
512	9725	9232
513	9742	9211
514	9758	9190
515	9775	9169
516	9795	9151
517	9820	9138
518	9838	9118
519	9870	9111
520	9887	9090
521	9904	9069
522	9921	9048
523	9937	9026
524	9955	9007
525	9975	8989
526	9992	8968
527	10016	8953
528	10041	8940
529	10057	8919
530	10072	8896
531	10093	8879
532	10109	8857
533	10127	8838
534	10143	8815
535	10158	8794
536	10173	8771
537	10191	8751
538	10208	8731
539	10222	8707
540	10239	8687
541	10253	8664
542	10269	8643
543	10287	8623
544	10305	8603
545	10325	8585
546	10349	8571
547	10376	8558
548	10394	8539
549	10409	8516
550	10424	8494
551	10444	8476
552	10457	8453
553	10474	8432
554	10492	8412
555	10511	8394
556	10527	8372
557	10542	8351
558	10558	8329
559	10574	8308
560	10591	8287
561	10606	8266
562	10621	8244
563	10638	8223
564	10653	8202
565	10672	8183
566	10687	8161
567	10702	8140
568	10718	8118
569	10733	8096
570	10748	8075
571	10766	8056
572	10779	8033
573	10794	8011
574	10809	7989
575	10823	7967
576	10838	7945
577	10853	7923
578	10865	7900
579	10880	7879
580	10898	7859
581	10952	7866
582	10982	7855
583	10999	7835
584	11015	7814
585	11031	7793
586	11046	7772
587	11062	7750
588	11076	7729
589	11090	7706
590	11105	7685
591	11121	7664
592	11135	7642
593	11151	7622
594	11165	7600
595	11184	7581
596	11199	7559
597	11214	7538
598	11231	7518
599	11246	7497
600	11262	7476
601	11276	7455
602	11291	7434
603	11309	7414
604	11327	7395
605	11344	7375
606	11359	7354
607	11373	7333
608	11388	7312
609	11402	7289
610	11418	7269
611	11434	7249
612	11454	7231
613	11468	7209
614	11481	7187
615	11498	7168
616	11514	7147
617	11529	7126
618	11544	7105
619	11557	7083
620	11571	7061
621	11595	7046
622	11609	7025
623	11624	7004
624	11642	6985
625	11655	6963
626	11672	6944
627	11687	6923
628	11700	6901
629	11714	6880
630	11740	6865
631	11753	6843
632	11768	6823
633	11781	6801
634	11795	6780
635	11812	6760
636	11831	6742
637	11849	6723
638	11864	6702
639	11880	6682
640	11896	6662
641	11912	6642
642	11928	6622
643	11943	6602
644	11959	6582
645	11976	6563
646	11994	6543
647	12006	6521
648	12019	6500
649	12031	6478
650	12051	6460
651	12067	6440
652	12085	6422
653	12102	6402
654	12117	6382
655	12138	6365
656	12157	6347
657	12173	6327
658	12190	6308
659	12207	6288
660	12222	6268
661	12241	6250
662	12260	6231
663	12280	6214
664	12320	6206
665	12338	6187
666	12355	6168
667	12372	6149
668	12418	6144
669	12466	6140
670	12498	6128
671	12526	6113
672	12550	6097
673	12574	6082
674	12596	6064
675	12619	6048
676	12641	6031
677	12662	6013
678	12683	5996
679	12699	5976
680	12715	5956
681	12733	5937
682	12754	5919
683	12771	5900
684	12790	5881
685	12807	5862
686	12833	5847
687	12858	5830
688	12879	5813
689	12902	5796
690	12924	5779
691	13001	5786
692	13026	5770
693	13045	5751
694	13064	5733
695	13084	5715
696	13104	5696
697	13119	5676
698	13133	5655
699	13148	5635
700	13161	5613
701	13174	5592
702	13188	5571
703	13200	5550
704	13214	5529
705	13227	5508
706	13244	5488
707	13261	5469
708	13275	5448
709	13290	5428
710	13305	5408
711	13317	5387
712	13333	5366
713	13350	5347
714	13366	5327
715	13380	5307
716	13397	5288
717	13413	5268
718	13429	5248
719	13447	5229
720	13467	5211
721	13488	5193
722	13517	5178
723	13542	5162
724	13560	5143
725	13582	5126
726	13598	5106
727	13613	5086
728	13633	5068
729	13653	5049
730	13669	5030
731	13689	5011
732	13711	4994
733	13731	4976
734	13752	4958
735	13770	4939
736	13783	4918
737	13801	4899
